item_id,restaurant,name,calories,fat_g,carbohydrates_g,protein_g,sodium_mg,cholesterol_mg,fiber_g,restaurant_id
1,Starbucks,2 PACK DARK CHOCOLATE GRAHAMS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2,Starbucks,"2% MILK, GRANDE",260,10,25,17,250,40,0,1
3,Starbucks,"2% MILK, TALL",200,8,19,13,190,30,0,1
4,Starbucks,"2% MILK, VENTI",370,15,36,24,350,60,0,1
5,Starbucks,8-GRAIN ROLL,380,6,70,10,480,0,7,1
6,Starbucks,"ALMOND BUTTER, STRAWBERRIES & JAM SANDWÉ",600,25,80,19,480,0,10,1
7,Starbucks,ALMOND CROISSANT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
8,Starbucks,ALMOND CROISSANT,380,23,38,9,380,85,2,1
9,Starbucks,"ALMOND MILK, GRANDE",130,9,11,3,230,0,2,1
10,Starbucks,"ALMOND MILK, TALL",100,7,8,2,170,0,2,1
11,Starbucks,"ALMOND MILK, VENTI",180,12,15,5,320,0,3,1
12,Starbucks,ANCHO CHIPOTLE CHICKEN PANINI,500,19,57,26,1030,60,4,1
13,Starbucks,APPLE FRITTER,460,23,56,7,420,0,2,1
14,Starbucks,"APPLE JUICE, GRANDE",250,0,64,0,25,0,0,1
15,Starbucks,"APPLE JUICE, TALL",190,0,49,0,20,0,0,1
16,Starbucks,"APPLE JUICE, VENTI",360,0,90,0,35,0,0,1
17,Starbucks,AVOCADO SPREAD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
18,Starbucks,BACON & GRUYéRE SOUS VIDE EGG BITES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
19,Starbucks,"BACON, GOUDA & EGG BREAKFAST SANDWICH",370,19,32,18,850,165,1,1
20,Starbucks,"BACON, GOUDA & EGG SANDWICH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
21,Starbucks,"BACON, GOUDA, & EGG BREAKFAST SANDWICH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
22,Starbucks,BANANA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
23,Starbucks,BANANA NUT BREAD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
24,Starbucks,BANANA NUT BREAD,420,22,52,6,320,65,2,1
25,Starbucks,BANANA NUT LOAF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
26,Starbucks,BARE FRUIT MEDLEY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
27,Starbucks,BBQ CHICKEN PROTEIN BOX,420,16,49,22,930,55,5,1
